THEM,YOU,CLAUSE
X,you,You shall not be entitled to approach the authorised dealer bank for resolution of complaint or dispute pertaining to payment of Balance.
X,you,"You shall be entitled to receive either the Reserve Amount or, if a charge back has been made as per Section 5.2 above, the balance thereof, after expiry of a period of 180 days of receipt of the Balance."
X,you,PLEASE READ IT.
X,you,Thank you for choosing Microsoft!
Microsoft,you,"For your convenience, Microsoft have phrased some of the terms of this Agreement in a question and answer format."
BIZCOM,CLIENT,Development Services Agreement
BIZCOM,CLIENT,"1. Services. BIZCOM agrees to perform and provide to CLIENT those services and deliverables as are set forth in the Proposal (which may include custom web application development, website design, and/or website or application maintenance) (together the “Development Services” or “Services”) in connection with the development of a website (the “Website”) that CLIENT desires to make available on the World Wide Web portion of the Internet."
BIZCOM,CLIENT,The Services shall include any additional services requested by CLIENT and accepted by BIZCOM after the date of the signing of the Proposal.
BIZCOM,CLIENT,"The CLIENT hereby authorizes BIZCOM to access their existing domain registrar and web hosting account, and authorizes the web hosting service, if other than BIZCOM, to provide BIZCOM with ""full permission"" for the CLIENT's webpage directory, and any other directories or programs which need to be accessed for BIZCOM’s performance of the Services."
Owner,Tenant,The “Initial Term” of this Agreement shall be ten (10) years beginning on the date set forth below (“Commencement Date”) and terminating on the tenth anniversary of the Commencement Date.
Owner,Tenant,"This Agreement will automatically renew for three (3) additional terms (each a “Renewal Term”) of five (5) years each, unless the Tenant provides notice to the Owner of its intention not to renew not less than one hundred and twenty (120) days prior to the expiration of the Initial Term or any Renewal Term. "
Owner,Tenant,"If the Commencement Date is determined by the date Tenant begins installation of its Equipment, and such install occurs on or between the first and the fifteenth day of a month, the Commencement Date will be the first day of that month and, if such install occurs on or between the sixteenth and the last day of the month, the Commencement Date will be the first day of the following month."
Owner,Tenant,"Beginning on the Commencement Date rent will be paid in equal monthly installments of One Thousand Nine Hundred Fifty and no/100 Canadian Dollars ($1,950.00) (“Rent”), in advance, due on the first day of each month. "
Owner,Tenant, This Agreement shall be effective on the date last executed by the parties.
Owner,Tenant,"This Agreement is subordinate to any mortgage or deed of trust which is now recorded against the Site, or which may be recorded in the future provided such the Tenant is provided with undisturbed possession. "
Owner,Tenant,"In the event of an emergency situation which poses an immediate threat of substantial harm or damage to persons and/or property (including the continued operations of Tenant’s telecommunications equipment) which requires entry on the Site or Tower, Tenant may enter same and take the actions that are required to protect individuals or personal property from the immediate threat of substantial harm or damage"
Owner,Tenant,"All notices sent with respect to this Agreement shall be in writing and delivered to the other party via registered mail, return receipt requested, or reputable overnight delivery service."
Owner,Tenant,"Notices shall be deemed to have been delivered upon the actual, verifiable date of receipt or refusal of delivery thereof by the recipient party."
Owner,Tenant,The current addresses of the parties to which such notices should be sent are as follows:
Owner,Tenant,The approved plans will be deemed incorporated into this Agreement.
Owner,Tenant,11
Owner,Tenant,$50.00
Owner,Tenant,Relocation Right.
Owner,Tenant,Failure to respond in writing within the ninety (90) day period will be deemed an approval. 
Owner,Tenant,Termination by Tenant.
Owner,Tenant,The terms and conditions of this Section 21 shall survive the termination of this Agreement.
Owner,Tenant,"Robin Weintraub, Inc. 4/17/15"
Company,Contractor,"All materials (including, without limitation, documents, drawings, models, apparatus, sketches, design and lists) furnished to Contractor by Company, whether delivered to Contractor by Company or made by Contractor in the performance of services under this Agreement (the ""Company Property"") are the sole and exclusive property of Company or its suppliers or customers."
Company,Contractor,"Subject to the foregoing, this Agreement will be for the benefit of Company's successors and assigns, and will be binding on Contractor's assignees."
Company,Contractor,"Contractor's relationship with Company is that of an independent contractor, and nothing in this Agreement is intended to, or should be construed to, create a partnership, agency, joint venture or employment relationship."
Company,Contractor,"""Inventions"" includes any and all new or useful art, discovery, improvement, technical development, or invention, whether or not patentable and all related know-how, designs, mask works, trademarks, formulae, processes, manufacturing techniques, trade secrets, ideas, artworks, software or other copyrightable or patentable work, that Contractor, solely or jointly with others, make, conceive or reduce to practice within the scope of Contractor's work for Company under this Agreement."
Company,Contractor,"""Confidential Information"" as used in this Agreement shall mean any and all technical and non-technical information including patent, copyright, trade secret, and proprietary information, techniques, sketches, drawings, models, inventions, know-how, processes, apparatus, equipment, algorithms, software programs, software source documents, and formulae related to"
Company,Contractor,Address: 100-151 Charles St. W.
Company,Contractor,"This Agreement includes and incorporates the above Order Form, including the referenced SOW, as well as the attached Terms and Conditions and contains, among other things, warranty disclaimers, liability limitations and use limitations."
Company,Contractor,"If any provision of this Agreement is found to be unenforceable or invalid, that provision will be limited or eliminated to the minimum extent necessary so that this Agreement will otherwise remain in full force and effect and enforceable."
Company,Contractor,"This Agreement (together with the Order Form, SOW and any other documents incorporated herein) is the complete and exclusive statement of the mutual understanding of the parties and supersedes and cancels all previous written and oral agreements, communications and other understandings relating to the subject matter of this Agreement, and that all waivers and modifications must be in a writing signed by both parties, except as otherwise provided herein."
Company,Contractor,Ability to mail merge in first names of recipients to personalize communications
Company,Contractor,"Company hosts its service on the Amazon Elastic Compute Cloud (Amazon EC2) platform, which offers a highly reliable environment with a 99.95% availability for each Amazon EC2 Region. Company strives to match the Amazon EC2 platform uptime."
Lender,Borrower,"This Loan Agreement is made as of this ____ day of May, 2015, by and between OLD MAPLE, LLC, a Michigan limited liability company (“Borrower”), and AAB FINANCE, INC."
Lender,Borrower,"Borrower is a Michigan limited liability company which has its principal place of business at 20700 Main, Birmingham, Michigan 48034."
Lender,Borrower,"Its members (the “Members”) are Susan Sharp (“Sharp”), Linden Tubbs (“Tubbs”) and Gary Rich (“Rich”)."
Lender,Borrower,"Borrower is the owner of certain real estate located in the City of Troy, Michigan consisting of approximately 11 acres land legally described in Exhibit A hereto (the “Land”) which is improved with a 183,251 square foot industrial building comprised of two (2) pre-cast concrete and metal panel structures (the “Improvements”)."
Lender,Borrower,The following terms as used herein shall have the following meanings:
Lender,Borrower,"[Application/Commitment: Collectively, the “Application” to AAB Finance, Inc. for the Loan dated February 27, 2015, and the acceptance thereof as a commitment dated April 11, 2015."
Lender,Borrower,][Note: Applications/Commitments are sometimes vague documents with general provisions and obligations.
Lender,Borrower,"For the purposes of this transactions, we could consider the exclusion of any citation to the Application/Commitment and also adjust the “Merger” clause in order to state that this Agreement and the Loan Documents reflect all the parties obligations and intentions under the transaction."
Lender,Borrower,Appraisal: An appraisal prepared by a member of a national appraisal organization that has adopted the Uniform Standards of Professional Appraisal Practice (USPAP) established by the Appraisal Standards Board of the Appraisal Foundation. 
Lender,Borrower,"][Note: in the letter we received from our client, there was no mention to this Environmental Indemnity Agreement, but as long as we do not have had access to the Commitment Letter, we are not sure whether they agreed to have an environmental indemnity or not."
Lender,Borrower,"ERISA: Employee Retirement Income Security Act of 1974, as amended, and the regulations promulgated thereunder from time to time."
Lender,Borrower,Governmental Approvals: The meaning set forth in Section 4.11 of this Agreement.
Lender,Borrower,"Governmental Authority: Any federal, state, county or municipal government, or political subdivision thereof, any governmental or quasi-governmental agency, authority, board, bureau, commission, department, instrumentality, or public body, or any court, administrative tribunal, or public utility."
Lender,Borrower,Improvements: The meaning set forth in Recital A of this Agreement.
Lender,Borrower,Include or including: Including but not limited to.
Lender,Borrower,"Internal Revenue Code: The Internal Revenue Code of 1986, as amended, and the regulations promulgated thereunder from time to time."
Lender,Borrower,"Knowledge: When used to modify a representation or warranty, actual knowledge of the person or entity in question."
Lender,Borrower," [Note: For the purposes of this loan, we should try to reduce knowledge to the actual knowledge, but the Lender can make a convincing argument to return the deleted sentence."
Lender,Borrower,Land: The land legally described in Exhibit A hereto.
Lender,Borrower,"Laws: Collectively, all federal, state and local laws, statutes, codes, ordinances, orders, rules and regulations, including judicial opinions or precedential authority in the applicable jurisdiction, as any of the same may from time to time be amended, modified or supplemented."
Lender,Borrower,"Loan Documents: This Agreement, [the Environmental Indemnity Agreement], the Mortgage, the Note, the other documents and instruments listed in Section 2.2 of this Agreement, as originally executed or as any of the same may be hereafter supplemented or amended from time to time, in writing."
Lender,Borrower, [Note: It is important for us to restrict the list of the Loan Documents in order to avoid a potential cross-default between the other Loan Documents and this loan]
Lender,Borrower,Loan Maturity: Maturity Date (as defined in the Note).
Lender,Borrower,Loan Opening Date: The date of the disbursement of the Loan.
Lender,Borrower,"Mortgage: The mortgage, deed of trust, security deed, deed to secure debt or similar instrument described in Section 2.2 of this Agreement, as originally executed or as may be hereafter supplemented or amended from time to time in writing."
Lender,Borrower,"Note: The mortgage note described in Section 2.2 of this Agreement, as originally executed or as may be hereafter supplemented or amended from time to time in writing."
Lender,Borrower,"Project: The Land together with the Improvements and any and all other buildings, structures and improvements located or to be located thereon and all rights, privileges, easements, hereditaments and appurtenances, thereunto relating or appertaining, including parking, and all personal property, fixtures and equipment required or used (or to be used) for the operation thereof."
Lender,Borrower,Real Property: That portion of the Project constituting real property.
Lender,Borrower,"GoFast Lease: That certain lease dated April 1, 2002, as amended from time to time, between Borrower, as landlord and GoFast, as tenant pursuant to which GoFast leases the Project from Borrower."
Lender,Borrower,"Title Insurer: [Philip R. Seaver Title Company, Inc., Policy Issuing Agent for First American Title Insurance Corporation], or such other title insurance company licensed in the State of Michigan, as may be approved by Lender in connection with the Loan."
Lender,Borrower,Defined terms may be used in the singular or the plural.
Lender,Borrower,"When used in the singular preceded by “a”, “an”, or “any”, such term shall be taken to indicate one or more members of the relevant class or group."
Lender,Borrower,"When used in the plural, such term shall be taken to indicate all members of the relevant class or group."
Lender,Borrower,"The Loan will bear interest for the period and at the rate or rates set forth in the Note, and be payable in accordance with the terms of the Note."